,IN_CGE_NPYnaive90,IN_CGE_NPYquinine90,IN_CGE_NPYsucrose90,IN_CGE_VIPnaive90,IN_CGE_VIPquinine90,IN_CGE_VIPsucrose90,IN_MGE-Pvalbnaive90,IN_MGE-Pvalbquinine90,IN_MGE-Pvalbsucrose90,IN_MGE-SSTnaive90,IN_MGE-SSTquinine90,IN_MGE-SSTsucrose90,Pyrlayer2a/bnaive90,Pyrlayer2a/bquinine90,Pyrlayer2a/bsucrose90,Pyrlayer3naive90,Pyrlayer3quinine90,Pyrlayer3sucrose90,SL1naive90,SL1quinine90,SL1sucrose90,SL2naive90,SL2quinine90,SL2sucrose90,Vglut2naive90,Vglut2quinine90,Vglut2sucrose90,genes,var
13,0.01755183,0.061955556,0.030237472,0.02482374,0.012753513,0.02399944,0.042147167,0.04373222,0.028547265,0.0,0.027344909,0.004826222,0.016953934,0.0053262664,0.01560786,0.018814193,0.021576855,0.028295644,0.010608828,0.0,0.044421714,0.010480544,0.044492655,0.017200978,0.03162589,0.054354943,0.043836962,Apoa1,0.00025982401148140884
14,0.024688361,0.02410234,0.03655346,0.08515125,0.029795945,0.031915344,0.0794188,0.047748163,0.020997422,0.030373503,0.04205354,0.028019758,0.0053390074,0.018086348,0.035072703,0.034388725,0.036647234,0.024590869,0.025038324,0.007674041,0.047280375,0.0201989,0.019927947,0.028619073,0.028781574,0.021279747,0.028315563,Arsa,0.0002966128236322655
15,0.4710273,0.74801916,0.48218867,0.40531057,0.60388017,0.4504128,0.47902673,0.7453236,0.4473941,0.376817,0.73433566,0.7016332,0.4865577,0.6153737,0.51195014,0.47827137,0.59293103,0.5197891,0.58634925,0.68792564,0.53437185,0.47299182,0.59479004,0.57720315,0.70477396,0.5491819,0.53963935,Atp5md,0.01085892180040565
16,0.36492026,0.6839682,0.73821795,0.47692528,0.7260498,0.66662145,0.18914431,0.29435855,0.3098657,0.22131592,0.24567291,0.18114728,0.43148077,0.81332713,0.6511781,0.6948638,1.1226562,1.0240064,0.19818866,0.27942905,0.26966867,0.26429874,0.4437929,0.37650645,0.92992437,1.0948989,1.1305323,Mapk4,0.09524232483535476
17,0.42808944,0.71388483,0.57397556,0.5292703,0.69132984,0.57919455,0.3119814,0.6999659,0.6557299,0.14344282,0.43077374,0.26282758,0.050860614,0.03350249,0.037493087,0.047858443,0.045100193,0.053539366,0.16657768,0.23894772,0.22638193,0.08068444,0.1300634,0.13470984,0.13957866,0.25304434,0.28369266,Eps8,0.05281129285544853
18,0.07488644,0.026907036,0.0,0.0,0.0,0.018329944,0.022528112,0.008528216,0.01223778,0.026737984,0.08133164,0.010468609,0.016540231,0.0384053,0.014581284,0.02626414,0.015716255,0.012824912,0.014496116,0.0,0.0,0.021178616,0.01722335,0.004471595,0.021199191,0.016112383,0.0,Mov10l1,0.00038107008678447545
19,0.05645957,0.13642292,0.13883904,0.20349519,0.19117126,0.09331632,0.25516915,0.52237797,0.27037123,0.16052678,0.18380956,0.19073863,0.07916516,0.11356735,0.13908452,0.100192286,0.165005,0.1391181,0.10226491,0.22784549,0.1773362,0.11910449,0.22826663,0.22327214,0.12928516,0.29496834,0.38533223,Thsd4,0.009492204599943925
20,1.1483415,1.5193491,1.1906179,1.1373576,1.1738193,1.0632578,1.7183446,1.7656522,1.7707356,1.4806826,1.839304,1.7390127,0.24224457,0.22223547,0.16438922,0.18287542,0.16499525,0.14320865,0.42887485,0.46337655,0.35249424,0.28236938,0.35102785,0.30821687,0.56834614,0.80679804,0.6435762,Spock3,0.3593692197392042
21,0.025808834,0.053582452,0.0,0.0238434,0.0,0.034354843,0.04502759,0.0,0.0,0.0100473985,0.0,0.04275302,0.02637871,0.014513522,0.010493087,0.008627538,0.015383713,0.0077370917,0.0153245535,0.009733324,0.0074728793,0.017070454,0.0,0.01634437,0.016195707,0.07526594,0.034899678,Tmem268,0.00033530245144616197
22,0.057987608,0.07581175,0.05387976,0.046662647,0.042038627,0.053231254,0.016788354,0.032246463,0.11869915,0.09559167,0.07528731,0.049472697,0.044321787,0.056480862,0.023066286,0.052669823,0.041692123,0.048886314,0.02254114,0.046379816,0.028416548,0.09427336,0.044472337,0.053258114,0.062412705,0.06410007,0.054408077,Cebpzos,0.0005096611744160787
