,30IN_CGE_NPY,30IN_CGE_VIP,30IN_MGE-Pvalb,30IN_MGE-SST,30Pyrlayer2a/b,30Pyrlayer3,30SL1,30SL2,30Vglut2,90IN_CGE_NPY,90IN_CGE_VIP,90IN_MGE-Pvalb,90IN_MGE-SST,90Pyrlayer2a/b,90Pyrlayer3,90SL1,90SL2,90Vglut2
27,Nif3l1,Spry3,Olfm2,Nwd1,Matn2,Eef2,Ikzf1,Usp6nl,Smyd1,Card6,Card6,Rfxank,Iqca,Ndufb1-ps,Thsd4,Frem1,Ccnd1,Dleu7
28,Arhgap6,AI593442,Pet100,Fam131b,Ebf3,Pet100,Plce1,Mrpl35,Ly86,Qrfpr,Pcdhga3,Pirb,Ttr,Socs2,Dbndd1,Slc25a22,Mns1,Msl3l2
29,Flvcr2,Hapln1,Slc9a3r2,Nkx6-2,Pet100,Smyd1,Rgs5,BC030500,Eef2,Pcdhb12,Rgs8,Apba3,Tcerg1l,Spef2,Eda,Cntn6,Rpl22l1,Tcerg1l
30,Sytl2,Apobec4,Plekhh2,Tmem164,Csnk2b,Onecut2,Myof,Slc3a1,Tbxas1,Grip1os2,Thsd4,Bola2,Tchh,Tspan9,Chrna5,Dennd1b,Thsd4,Tpbgl
31,Msrb1,Cldn5,Lrrc51,Atp6v0e2,Kctd1,Itih5,Shisa9,Proser2,Vwc2,Ttr,Trpc3,Lrrc1,Antxr2,Rspo2,AI839979,Rfxank,Hepacam,Vegfc
32,Palld,Pdcd11,Ccn6,Chd7,Tspan9,Bnip3,Egr2,Onecut2,Atp5md,Apobec4,Cacng4,B4galnt2,Cmah,Prlr,Pja1,Tmem268,Eps8,Rps3
33,Bag3,Rps28,Plekhg2,Gucy2f,Smyd1,Dcc,Myh11,Rsl24d1,Mro,Whrn,Fibcd1,Sdc4,Sdk1,Zeb2os,Cspg4,Tfap4,Susd5,Ctsb
34,Mylk3,Abcd2,Eef2,Mapk4,Ccnd1,Adamtsl1,Rps28,Plekhh2,Ikzf1,Rsl24d1,Grk5,Plxnb3,Nif3l1,Vwa5a,Ikzf1,Flvcr2,A2ml1,Man1a
35,Ror2,Nif3l1,Maged1,Zxdb,Fxyd6,Frem1,Relt,AI593442,P3h4,Tnfaip8l3,Nacc2,Cyp4f17,Plppr1,Pcdhb12,Pdcd11,Spock3,Unc13c,Zfp772
36,Myadm,Cfap46,Paqr4,Apoa1,Eef2,Hdac11,Slc16a12,Bnc2,Dbf4,Mns1,Kcnip3,Grip1os1,Ndufb1-ps,Thsd4,Neo1,Rplp2,Cd109,Ebf3
37,Adap2os,Itih5,Flywch2,Pxdc1,Tmco1,Pde4a,Atxn7l3,Ccnd2,Adamtsl1,Ccnd1,Slc24a5,Arsa,Rida,Mov10l1,Atp5md,Eef2kmt,Lypd6,Spag17
38,Cfap100,Plekhg2,Mapk4,Cfap46,Bnip3,Atp5md,Gna15,S1pr5,Cmtm5,Mov10l1,Mov10l1,Rab26os,Nwd1,Ddr2,Dock5,Rps25,Atp11c,Aga
39,Vwc2,Gna15,Pdcd11,Tns3,Apba3,Cfap46,Tns3,Olfm2,Jup,Adamtsl1,Sat1,Vwc2,Myo1f,Susd5,Nefl,Lrrc18,Ppp3r2,Adamts19
