Only in Index 1,Only in Index 2,In Both
Chrna4,Chrna5,Banf1
Chst1,Chst3,Bank1
Chst11,Cib1,Barx2
Chst8,Cirbp,Baz1a
Chtf18,Cks2,Bc1
Cideb,Cldn1,Bcam
Cisd1,Cldn11,Bcan
Cited2,Cln5,Bcar3
Cited4,Clrn1,Bcas1
Ckap4,Cmah,Bcas1os2
Cldn10,Cnbp,Bcas3os1
Clec3b,Cnksr3,Bcl11a
Clic1,Cntnap1,Bdnf
Clic5,Col12a1,Bex2
Clip3,Col17a1,Bgn
Cln6,Col6a2,Bloc1s1
Clspn,Commd6,Bloc1s5
Clstn3,Commd8,Bmi1
Clu,Comp,Bmp4
Cmklr1,Coprs,Bmp5
Cmtm3,Coq7,Bmp6
Cnih2,Coq8a,Bmp7
Cnn3,Cox15,Bmper
Cnp,Cox4i1,Bmpr1b
Col13a1,Cpeb2,Bnc2
Col4a4,Cpsf4l,Boc
Col9a2,Cpt2,Bola2
Col9a3,Creb3l1,Brinp3
Commd9,Crip2,Btbd11
Cops6,Crls1,Btk
Cops7a,Crtc2,Bzw1
Cops8,Cryz,C1qa
Cops9,Csgalnact1,C1ql3
Copz1,Csmd2os,C1qtnf7
Cort,Csnka2ip,C2cd2
Cox6a1,Cspg5,C2cd3
Cox6b1,Ctla2a,C4b
Cox6b2,Ctnnb1,C77080
Cox6c,Ctsh,C79798
Cox7a1,Cxcl17,C87487
Cpeb3,Cyb561a3,Cachd1
Cplx1,Cyb5d1,Cacna2d2
Cr2,Cybrd1,Cacna2d3
Creg1,Cyp27a1,Cacnb2
Csf1r,Cyp2s1,Cacng5
Csf3r,Cyp39a1,Cadps2
Csnk2b,Cyp4f15,Calb1
Csrnp1,D16Ertd472e,Calb2
Csrp2,D17H6S53E,Calcrl
Ctdnep1,Dancr,Car14
Ctdsp1,Dbr1,Car2
Cth,Dchs1,Carmil1
Ctss,Ddit4l,Cartpt
Ctxn1,Ddx39b,Casp8
Cul4a,Ddx60,Casq1
Cygb,Degs2,Catip
Cyp2c23,Deup1,Cav1
Cyth4,Dgkg,Cav2
Cyyr1,Dkc1,Cavin1
Dalrd3,Dll1,Cbln2
Dbndd1,Dnm3os,Cbx3
Dcdc2a,Dnmt1,Cbx7
Dcxr,Dock2,Cbx8
Ddit4,Dock6,Ccbe1
Ddx21,Dsc2,Ccdc114
Ddx54,Dtnbos,Ccdc146
Ddx56,Dubr,Ccdc163
Def6,Dusp26,Ccdc192
Dennd2c,Dusp6,Ccdc3
Denr,Dynlt1f,Ccdc32
Derl3,Dyrk2,Ccdc40
Dhcr24,Ebi3,Ccdc60
Dhrs3,Eci2,Ccn2
Dio3,Ecm2,Ccn6
Dkk3,Eef1e1,Ccna2
Dleu7,Efna1,Ccnb1
Dmgdh,Ehhadh,Ccnd1
Dmp1,Eid1,Ccnd3
Dmwd,Eif1ad,Ccr5
Dnajb2,Eif3d,Cct2
Dnase2a,Eif4a2,Cd109
Dok2,Eif4g2,Cd24a
Dsn1,Emc1,Cd63
Dtx3l,Emx2,Cd74
Dusp19,Epha4,Cd81
Dusp8,Epha7,Cd82
Dynlrb1,Epm2aip1,Cdc14a
Dynlt1b,Epop,Cdc42ep4
Ebpl,Esr1,Cdca7
Ech1,Eva1a,Cdh1
Ecscr,Eva1c,Cdh11
Edaradd,Evi2a,Cdh12
Edil3,Extl2,Cdh13
Ednra,Eya1,Cdh18
Ednrb,F8a,Cdh19
Eef1a2,Fabp5,Cdh20
Eef2,Fabp7,Cdh23
Egfl6,Fah,Cdh4
Egr4,Fahd1,Cdh5
Ehd3,Fam136a,Cdh6
Eif2ak2,Fam161a,Cdh7
Eif3b,Fam180a,Cdh8
Eif3f,Fam181b,Cdh9
Eif3j1,Fam227b,Cdk2ap2
Eif5,Far1os,Cdk5r1
Elf4,Fastkd5,Cdk5r2
Elob,Fblim1,Cdk8
Emc10,Fbxl4,Cdkn1b
Emd,Fbxo30,Cebpzos
Emp2,Fbxo45,Celsr1
Endod1,Fbxo6,Cemip
Eno1,Fbxw15,Cenpf
Eno2,Fcgr1,Cenpi
