Only in Index 1,Only in Index 2,In Both
Rdh5,Rpl8,Hs3st1
Reep6,Rpl9,Hs3st2
Repin1,Rplp1,Hs3st3a1
Retn,Rpp25,Hs3st4
Retreg2,Rprm,Hs3st5
Rfc3,Rprml,Hs6st3
Rflnb,Rps10,Hsd17b7
Rgmb,Rps12,Hspg2
Rgs19,Rps14,Htr1d
Rgs2,Rps15a,Htr1f
Rgs22,Rps18,Htr2a
Rhbdl3,Rps24,Htr2c
Rhog,Rps27rt,Htr3a
Rhoj,Rps3a1,Htr4
Rida,Rps5,Htr5a
Rims4,Rps6,Htr7
Ring1,Rps6ka6,Htra1
Rnd1,Rps7,Htra3
Rnf181,Rras,Hunk
Rnf187,Rsf1os1,Id1
Rnf212b,Rsf1os2,Id2
Rnf217,Rsl1d1,Id3
Rnf220,Rtl5,Id4
Rpe65,Rwdd2a,Idh3a
Rpl10a,Rxfp2,Idi1
Rpl22,S100a10,Ids
Rpl23a,S100a11,Ifit1
Rpl41,S100a4,Ifit2
Rpl6,S100a6,Igf1
Rps11,Sacs,Igf2
Rps15,Sall2,Igf2bp2
Rps19,Samd11,Igf2bp3
Rps21,Scml2,Igfbp2
Rps29,Scn7a,Igfbp3
Rpusd2,Scrn2,Igfbp4
Rraga,Scrn3,Igfbp5
Rsl1,Sdcbp2,Igfn1
Rtl6,Sdhaf1,Igsf10
Rtl8a,Sdhaf4,Igsf3
Rtl8b,Sec61b,Igsf9b
S100a13,Sel1l2,Ikzf1
Sardh,Selenbp1,Il10ra
Sars,Selenof,Il12a
Saxo2,Selenoh,Il15
Sbk2,Serf1,Il1rap
Sc5d,Serp1,Il1rapl2
Scarf2,Serpine3,Il23a
Scnn1a,Sfrp4,Il27
Sdc3,Sgpp2,Il33
Sdr39u1,Sgsh,Il4ra
Selplg,Sh3d19,Impdh1
Sem1,Shh,Inpp4b
Sema6c,Shld3,Inpp5d
Sema7a,Sidt1,Inppl1
Serf2,Six3,Insc
Serinc2,Skint6,Insig1
Serpina3n,Sla2,Insyn2b
Serpina9,Slc12a4,Iqgap2
Serpinb1a,Slc14a1,Irak2
Sertad4,Slc15a3,Irf8
Sfmbt2,Slc16a4,Irgm1
Sfrp1,Slc19a1,Itga1
Sgta,Slc1a5,Itga8
Sh3tc2,Slc22a22,Itga9
Shd,Slc22a4,Itgad
Shisa3,Slc22a6,Itgam
Shisa9,Slc23a1,Itgav
Shroom3,Slc24a5,Itgb4
Siah3,Slc25a13,Itgb5
Sil1,Slc25a15,Itgbl1
Slc11a1,Slc25a29,Itih3
Slc13a1,Slc25a37,Itih5
Slc16a9,Slc26a7,Itm2a
Slc19a3,Slc27a1,Itm2c
Slc22a2,Slc35b4,Itpr2
Slc24a4,Slc35f3,Junb
Slc25a1,Slc38a4,Jund
Slc25a21,Slc39a8,Kbtbd7
Slc25a24,Slc3a1,Kcnab1
Slc25a3,Slc40a1,Kcnc1
Slc25a34,Slc46a1,Kcnc2
Slc25a39,Slc5a4b,Kcnh5
Slc25a45,Slc7a5,Kcnh8
Slc26a5,Slc7a7,Kcnip1
Slc29a2,Slc9a6,Kcnip4
Slc29a3,Slitrk4,Kcnj10
Slc2a5,Smc2,Kcnk2
Slc30a1,Smco3,Kcnmb2
Slc35a4,Smg8,Kcnn2
Slc35g2,Smim11,Kcnq5
Slc38a1,Smo,Kcnrg
Slc38a11,Snhg1,Kcns3
Slc44a4,Snhg10,Kcnt2
Slc48a1,Snhg15,Kctd1
Slc5a11,Snhg4,Kctd16
Slc6a16,Snhg6,Kctd8
Slc6a7,Snn,Khdrbs2
Slc9a2,Snorc,Khdrbs3
Slc9a3r2,Snrnp200,Kif22
Smarca2,Snx15,Kif26b
Smarcd1,Snx33,Kirrel
Smc2os,Sorbs2os,Kirrel3
Smim1,Sorbs3,Kit
Smim10l2a,Sowahc,Kitl
Smim19,Sox12,Klf11
Smim27,Sox13,Klf6
Smim3,Spa17,Klhdc8a
Smim38,Spata16,Klhl1
Smtn,Spin2c,Klhl13
Snapin,Spocd1,Klhl14
Sncb,Spry2,Klhl32
Sned1,Srp14,Klhl6
Snhg18,Srp9,Klhl9
Snrnp27,Srsf1,Knl1
Snrpb2,Srsf2,Kntc1
Snrpd2,Srsf6,Krt77
Snrpg,Srsf9,Ky
Snu13,Srxn1,L3mbtl4
Sod3,Ss18l2,Lama1
Sp140,Ssr3,Lama2
Sp9,St5,Lama3
Spag7,St6gal1,Lama4
Spdya,St8sia3os,Lamb3
Spin1,St8sia6,Lamc3
Spr,Stat4,Lap3
Spryd4,Stc1,Laptm5
Spsb1,Stk17b,Lars2
Spsb4,Strap,Lbh
Sqle,Strip2,Lcorl
Sqor,Stxbp2,Lcp1
Sqstm1,Sub1,Ldb2
Srd5a3,Svopl,Lef1
Sspn,Sycp2,Leng9
Sstr2,Syne2,Lgalsl
St13,Sypl,Lgi2
St3gal6,Syt4,Lgr5
St8sia1,Sytl2,Lhfp
St8sia3,Tap1,Lhfpl3
Stab2,Tapbpl,Lhfpl5
Stac2,Tbc1d2b,Lhx6
Stard4,Tbx18,Lima1
Stard5,Tceal1,Llph
Stc2,Tceal7,Lmcd1
Stil,Tceal8,Lmo3
Ston1,Tceanc,Lockd
Ston2,Tchh,Lpar1
Stpg4,Tcp1,Lpp
Styxl1,Tead1,Lrmda
Sumo3,Tead3,Lrp1b
Suox,Tek,Lrp3
Susd2,Tent5d,Lrp4
Susd5,Tet1,Lrp5
Swi5,Tex50,Lrrc19
Sypl2,Tfap2d,Lrrc32
Taco1os,Tfap4,Lrrc51
Taf10,Tgds,Lrrc55
Taf1d,Tgfb1,Lrrc9
Tagln2,Tgfbi,Lrrk1
Tbc1d1,Tgm6,Lrrk2
Tbc1d7,Thbs1,Lrrtm4
Tc2n,Thbs4,Lrtm1
Tceal3,Thrb,Lsamp
Tceal5,Thumpd1,Ltbp1
Tceal6,Tifa,Luzp2
Tcf7,Timm13,Lvrn
Tcf7l1,Timm21,Ly75
Tcirg1,Timp4,Ly86
Tec,Tinf2,Lyl1
Tekt5,Tlr7,Lyn
Tex11,Tm4sf1,Lypd1
Tex26,Tmem126a,Lypd6
Tex45,Tmem131l,Lypd6b
Tfeb,Tmem132d,Lyz2
Tgfb3,Tmem14c,Mab21l1
Tgfbr3l,Tmem150b,Macrod1
Tgm2,Tmem158,Mad2l1bp
Tgm4,Tmem160,Maf
Tgm7,Tmem176a,Mafb
Thrsp,Tmem177,Mag
Thy1,Tmem196,Mageb18
Tigar,Tmem243,Maged1
Timp1,Tmem251,Maged2
Timp2,Tmem255a,Mal
Tkt,Tmem267,Malat1
Tlcd1,Tmem268,Maml2
Tle5,Tmem43,Maml3
Tmbim1,Tmem44,Man1a
Tmbim6,Tmem47,Mapk4
Tmc2,Tmem56,March3
Tmco1,Tmem65,Matn2
Tmed4,Tmem81,Matn4
Tmem115,Tmem88,Mc1r
Tmem119,Tmem98,Mc4r
Tmem130,Tmprss11d,Mcam
Tmem141,Tmtc1,Mcc
Tmem151a,Tnc,Mcfd2
Tmem173,Tnfaip3,Mcm2
Tmem198b,Tnfrsf11b,Mctp2
Tmem236,Tnfrsf22,Mdfic
Tmem250-ps,Tob1,Mdga1
Tmem35a,Tomm22,Mecom
Tmem59l,Tomm5,Med18
Tmie,Tonsl,Megf10
Tmprss9,Tox3,Megf11
Tmsb10,Tpbg,Mei4
Tmsb15b1,Tpm2,Meis1
Tmub1,Tprn,Meis2
Tnfaip8l3,Traf3ip2,Mertk
Tnfrsf1b,Traf3ip3,Met
Tnfsf13,Trappc2,Metap1d
Tnfsf13os,Trib1,Mfsd2a
Tnxb,Trib2,Mgat4c
Tomm20l,Trim28,Mgll
Tor1a,Trim30a,Mhrt
Tpbgl,Trim45,Mid1ip1
Tpi1,Trim54,Mif
Tpm4,Trim59,Mill2
Tpmt,Trp53rka,Mir142hg
Traf5,Trpc5os,Mir670hg
Trappc3l,Trpc7,Mir99ahg
Trem2,Tsc22d3,Mitf
Trim7,Tsix,Mkx
Trp53i11,Tsnaxip1,Mlc1
Trp53inp2,Tst,Mlip
Trp63,Tstd1,Mlph
Trpv3,Ttbk2,Mlxipl
Trpv6,Ttc16,Mmachc
Tsc22d4,Ttc6,Mme
Tspan15,Ttll12,Mmp14
Tspan2,Ttn,Mmp28
Tspan31,Tubb2b,Moap1
Tspan9,Tug1,Mobp
Tspyl3,Txlnb,Mog
Ttc12,Txndc17,Morf4l2
Ttc30b,Txnl4a,Moxd1
Ttc32,Ube2g2,Mpl
Ttc34,Ube4bos1,Mpnd
Ttpa,Ucp2,Mpp6
Ttyh2,Ucp3,Mpp7
Tuba8,Ugt8a,Mpped1
Tubb3,Ulk3,Mpped2
Tubb4b,Unc13d,Mr1
Tuft1,Unc93b1,Mrc2
Txk,Usp50,Mrfap1
Uaca,Vamp5,Mrpl33
Uba52,Vash2,Mrpl52
Ubald1,Vbp1,Mrps33
Ubald2,Vcam1,Ms4a1
Ube2q1,Vdac1,Msantd4
Ubl5,Vim,Msi2
Ubqln4,Vma21,Msl3l2
Uqcrh,Vmac,Mt1
Uqcrq,Vstm2b,Mt2
Usf2,Wdr17,Mtln
Ush2a,Wdr95,Mtmr11
Usp22,Wif1,Mtss1
Usp27x,Wnt10a,Mtus1
Vamp2,Wrnip1,Mtus2
Vat1,Wsb1,Mxra7
Vav1,Xirp2,Myadm
Vav2,Ypel5,Mybpc1
Vegfb,Yrdc,Myh11
Vegfd,Ywhab,Myl12a
Vipr2,Zan,Myl6
Vps28,Zbtb14,Myo16
Vtcn1,Zbtb3,Myo1e
Vwa1,Zbtb6,Myo1h
Wbp11,Zc2hc1c,Myo3b
Wdr1,Zc3h10,Myo5b
Wdr64,Zc3h11a,Myoc
Wdr76,Zfas1,Myof
Wdr83os,Zfp13,Myrf
Wnt3,Zfp263,Myzap
Wnt5a,Zfp383,Naa11
Wscd1,Zfp395,Naa80
Xbp1,Zfp422,Nacc2
Ybey,Zfp455,Nanos1
Yif1b,Zfp488,Nap1l5
Ypel3,Zfp54,Nars
Zbtb12,Zfp599,Nat14
Zcchc3,Zfp658,Nat8f4
Zdbf2,Zfp691,Ncam2
Zeb2,Zfp711,Ncdn
Zeb2os,Zfp748,Nckap5
Zfp119b,Zfp773,Nckap5los
Zfp229,Zfp867,Ndnf
Zfp275,Zfp879,Ndrg1
Zfp281,Zfp92,Ndrg2
Zfp469,Zfp93,Ndst3
Zfp503,Zfp968,Ndst4
Zfp524,Zfp970,Ndufa1
Zfp558,Zic1,Ndufa2
Zfp622,Zic5,Ndufa3
Zfp629,Zim3,Ndufa4
Zfp870,Zkscan17,Ndufa5
Zfp992,Zkscan6,Ndufaf8
Zkscan4,Zmat2,Ndufb1-ps
Zmiz2,Znhit3,Ndufb3
Zmym1,Zswim1,Ndufb4
Zrsr1,Zxdb,Ndufb7
,,Ndufb8
,,Ndufc1
,,Neat1
,,Neb
,,Necab1
,,Necap1
,,Nedd8
,,Nefl
,,Nek7
,,Nell1
,,Nell1os
,,Neto1
,,Neto2
,,Neurod2
,,Neurod6
,,Nfam1
,,Nfatc1
,,Nfe2l2
,,Nfia
,,Nfib
,,Nfix
,,Nfkb2
,,Ngf
,,Nhlrc1
,,Nhs
,,Nhsl1
,,Nid1
,,Nid2
,,Ninj2
,,Nipal4
,,Nkain3
,,Nkx2-2
,,Nkx2-2os
,,Nlrc4
,,Nme1
,,Nmi
,,Nmur2
,,Nnat
,,Nos1
,,Notch1
,,Notch2
,,Nox4
,,Npas1
,,Npas3
,,Npffr1
,,Npnt
,,Nppc
,,Npsr1
,,Nptx2
,,Npy
,,Nr1d1
,,Nr1i3
,,Nr2e1
,,Nr3c2
,,Nr4a2
,,Nr4a3
,,Nrep
,,Nrg1
,,Nrip3
,,Nrn1
,,Nrp1
,,Nrsn1
,,Nrtn
,,Nrxn3
,,Nsmce4a
,,Ntm
,,Ntn1
,,Ntn4
,,Ntng1
,,Nts
,,Nubp2
,,Nxpe4
,,Nxph1
,,Nxph2
,,Nxph3
,,Nyap2
,,Oaf
,,Oip5os1
,,Olfm2
,,Olfm3
,,Olfm4
,,Olfml1
,,Olfml2a
,,Olfr111
,,Olfr1124
,,Olfr1369-ps1
,,Olfr655
,,Olig1
,,Omg
,,Opcml
,,Oprd1
,,Oprm1
,,Osbpl3
,,Otc
,,Otof
,,Otud1
,,Otx2os1
,,P2rx7
,,P2ry12
,,P2ry13
,,Paip2b
,,Palld
,,Pamr1
,,Pantr1
,,Pappa
,,Pappa2
,,Paqr8
,,Pard3
,,Pard3b
,,Pard3bos1
,,Parm1
,,Pawr
,,Pax6
,,Pbx3
,,Pbxip1
,,Pcbp1
,,Pcdh11x
,,Pcdh15
,,Pcdh17
,,Pcdh19
,,Pcdhb15
,,Pcdhga3
,,Pcdhgc3
,,Pcna
,,Pcsk1
,,Pcsk2os2
,,Pcsk5
,,Pcsk6
,,Pcsk9
,,Pdap1
,,Pdcd5
,,Pdcl
,,Pde11a
,,Pde1a
,,Pde1c
,,Pde3a
,,Pde4d
,,Pde5a
,,Pde6a
,,Pde7b
,,Pdgfd
,,Pdgfra
,,Pdgfrb
,,Pdgfrl
,,Pdha1
,,Pdk4
,,Pdlim3
,,Pdlim5
,,Pdpn
,,Pdyn
,,Pdzd2
,,Pdzrn3
,,Pdzrn4
,,Pear1
,,Peg13
,,Penk
,,Pex5l
,,Pfdn2
,,Pfn1
,,Pgam2
,,Pgm5
,,Phactr2
,,Phf21b
,,Phkg1
,,Phlda1
,,Phldb2
,,Phpt1
,,Pianp
,,Piezo2
,,Pifo
,,Pigk
,,Pip5k1b
,,Pirb
,,Pitpnc1
,,Pja1
,,Pkd1l2
,,Pkib
,,Pkp1
,,Pkp3
,,Pla2g6
,,Pla2g7
,,Plcb3
,,Plcb4
,,Plcl1
,,Plcxd2
,,Plcxd3
,,Pld1
,,Pld4
,,Pld5
,,Plekhb1
,,Plekhg1
,,Plekhh2
,,Plk5
,,Pllp
,,Plp1
,,Plpp3
,,Plpp4
,,Plpp6
,,Plppr1
,,Plxdc2
,,Plxna3
,,Plxnb3
,,Pmp22
,,Pnrc1
,,Pole
,,Pole4
,,Polr2d
,,Polr2i
,,Polr2k
,,Polr2m
,,Pou3f1
,,Pou6f2
,,Ppara
,,Ppef2
,,Ppfia4
,,Ppfibp1
,,Ppfibp2
,,Ppm1l
,,Ppp1r15b
,,Ppp1r18
,,Ppp1r18os
,,Ppp1r1b
,,Ppp1r3e
,,Ppp2r1a
,,Ppp3r1
,,Prdm16
,,Prdm16os
,,Prdm6
,,Prdx1
,,Prelid3b
,,Prelp
,,Prex2
,,Prg4
,,Prkag2
,,Prkcd
,,Prkch
,,Prkcq
,,Prkd1
,,Prkd3
,,Prlr
,,Prokr2
,,Prom1
,,Proser2
,,Prox1
,,Prox1os
,,Prps1
,,Prr16
,,Prr5l
,,Prrg1
,,Psat1
,,Psmb4
,,Psmd2
,,Psmg4
,,Pstpip2
,,Ptchd4
,,Ptgds
,,Ptger3
,,Ptges3
,,Ptgr2
,,Ptgs1
,,Ptgs2
,,Pth2r
,,Pthlh
,,Ptma
,,Ptpn18
,,Ptpn20
,,Ptprd
,,Ptprk
,,Ptprm
,,Ptpro
,,Ptprz1
,,Purb
,,Pvalb
,,Pvt1
,,Pxdc1
,,Qpct
,,Qrfpr
,,Qrfprl
,,Rab1b
,,Rab26os
,,Rab27b
,,Rab29
,,Rab37
,,Rab39
,,Rab3b
,,Rab3c
,,Rac1
,,Racgap1
,,Rad51b
,,Rai14
,,Ran
,,Ranbp3l
,,Ranbp6
,,Rapgef3
,,Rarb
,,Rasef
,,Rasgrp1
,,Rasgrp3
,,Rasl11b
,,Rassf8
,,Raver2
,,Rbm15b
,,Rbm20
,,Rbm47
,,Rbms1
,,Rbms3
,,Rbp4
,,Rbpms
,,Rbpms2
,,Rcan2
,,Rcn3
,,Reln
,,Relt
,,Rerg
,,Ret
,,Rfk
,,Rftn1
,,Rftn2
,,Rfx3
,,Rfx4
,,Rgma
,,Rgs12
,,Rgs16
,,Rgs3
,,Rgs4
,,Rgs5
,,Rgs6
,,Rgs9
,,Rhob
,,Rlbp1
,,Rmst
,,Rnase4
,,Rnasek
,,Rnd2
,,Rnd3
,,Rnf122
,,Rnf144b
,,Rnf152
,,Rnf167
,,Rnf17
,,Rnf208
,,Rnf227
,,Robo1
,,Robo2
,,Rom1
,,Romo1
,,Ror1
,,Ror2
,,Rora
,,Rorb
,,Rpgrip1
,,Rph3a
,,Rpl10-ps3
,,Rpl13a
,,Rpl14
,,Rpl18a
,,Rpl22l1
,,Rpl23
,,Rpl24
,,Rpl26
,,Rpl27
,,Rpl3
,,Rpl30
,,Rpl31
,,Rpl34
,,Rpl35
,,Rpl35a
,,Rpl36
,,Rpl36a
,,Rpl36al
,,Rpl37
,,Rpl37a
,,Rpl38
,,Rpl39
,,Rpl4
,,Rpl9-ps6
,,Rplp0
,,Rplp2
,,Rps17
,,Rps20
,,Rps23
,,Rps25
,,Rps26
,,Rps27
,,Rps27a
,,Rps27l
,,Rps28
,,Rps3
,,Rps4x
,,Rps6ka5
,,Rps9
,,Rpsa
,,Rreb1
,,Rsl24d1
,,Rspo2
,,Rspo3
,,Rtkn
,,Rtl1
,,Rtl4
,,Rtn4rl1
,,Rubcnl
,,Runx1
,,Runx1t1
,,Runx2
,,Rxfp1
,,Rxra
,,S100a1
,,S100a16
,,S100a2
,,S100b
,,S1pr1
,,S1pr5
,,Sall1
,,Sall3
,,Samd4
,,Samd5
,,Sash1
,,Sat1
,,Satb1
,,Satb2
,,Scara3
,,Scara5
,,Scd1
,,Scd3
,,Scg2
,,Schip1
,,Scn4b
,,Scn9a
,,Scoc
,,Scube1
,,Sdc4
,,Sdhd
,,Sdk1
,,Sdk2
,,Sec61a1
,,Sec61g
,,Sel1l3
,,Selenok
,,Selenop
,,Sema3a
,,Sema3c
,,Sema3d
,,Sema3e
,,Sema5a
,,Sema5b
,,Sema6a
,,Sema6d
,,Sephs2
,,Sept5
,,Serhl
,,Serpinb9
,,Serpinc1
,,Serpine2
,,Serpinh1
,,Serpini1
,,Set
,,Sf3b4
,,Sf3b5
,,Sfta2
,,Sfta3-ps
,,Sgcd
,,Sgcz
,,Sgk1
,,Shb
,,Shisa2
,,Shisa6
,,Shisa8
,,Shoc1
,,Siglech
,,Sik2
,,Sipa1l2
,,Skap1
,,Skida1
,,Skint5
,,Skp1a
,,Sla
,,Slc12a7
,,Slc13a3
,,Slc13a4
,,Slc16a12
,,Slc17a6
,,Slc17a8
,,Slc1a3
,,Slc22a8
,,Slc24a3
,,Slc25a22
,,Slc25a4
,,Slc25a43
,,Slc25a48
,,Slc25a5
,,Slc26a4
,,Slc2a13
,,Slc30a3
,,Slc31a2
,,Slc32a1
,,Slc35c1
,,Slc35f4
,,Slc38a3
,,Slc39a1
,,Slc41a1
,,Slc41a3
,,Slc44a5
,,Slc47a1
,,Slc4a4
,,Slc5a5
,,Slc5a7
,,Slc6a1
,,Slc6a13
,,Slc6a20a
,,Slc7a10
,,Slc7a11
,,Slc7a15
,,Slc7a2
,,Slc7a3
,,Slc8b1
,,Slc9a3r1
,,Slco1a4
,,Slco1c1
,,Slco2a1
,,Slco2b1
,,Slirp
,,Slit2
,,Slitrk2
,,Slx1b
,,Smcr8
,,Smdt1
,,Smim10l1
,,Smim15
,,Smim26
,,Smoc1
,,Smoc2
,,Smyd1
,,Smyd3
,,Sncaip
,,Snhg8
,,Snhg9
,,Snrpe
,,Snrpf
,,Sntb1
,,Sntb2
,,Sntg2
,,Snx22
,,Sod1
,,Sorcs1
,,Sorcs2
,,Sorcs3
,,Sorl1
,,Sowaha
,,Sowahb
,,Sox1
,,Sox10
,,Sox1ot
,,Sox2
,,Sox2ot
,,Sox3
,,Sox5
,,Sox5os2
,,Sox5os4
,,Sox6
,,Sox9
,,Spag16
,,Spag17
,,Sparc
,,Sparcl1
,,Spc25
,,Spcs3
,,Sphk1
,,Spi1
,,Spock3
,,Spon1
,,Spp1
,,Spry1
,,Spry3
,,Spry4
,,Spryd7
,,Sptlc3
,,Srf
,,Srgap1
,,Srgn
,,Srrm4
,,Srrm4os
,,Ssc4d
,,Sst
,,St18
,,St3gal1
,,St6galnac5
,,St8sia2
,,St8sia4
,,Stab1
,,Stac
,,Stag3
,,Stambp
,,Stap1
,,Stard13
,,Stat6
,,Steap3
,,Stk32a
,,Stk32b
,,Stk33
,,Stom
,,Stra6
,,Stxbp6
,,Sulf1
,,Sulf2
,,Sult4a1
,,Sult5a1
,,Surf4
,,Susd3
,,Sv2c
,,Svbp
,,Svep1
,,Svil
,,Swap70
,,Syde1
,,Syde2
,,Syk
,,Syn3
,,Syndig1
,,Syndig1l
,,Syne3
,,Synpo2
,,Synpr
,,Syt2
,,Syt6
,,Sytl5
,,Tac1
,,Tac2
,,Tacr1
,,Tacr3
,,Tafa1
,,Tafa2
,,Tagln3
,,Tal1
,,Tanc1
,,Tbc1d4
,,Tbr1
,,Tbx15
,,Tceal9
,,Tcerg1l
,,Tcf7l2
,,Tcn2
,,Tcte1
,,Tdo2
,,Tenm2
,,Tenm3
,,Tent5a
,,Tent5c
,,Tex14
,,Tex22
,,Tfcp2l1
,,Tg
,,Tgfa
,,Tgfb2
,,Tgfbr1
,,Tgfbr2
,,Tgoln1
,,Thap1
,,Thap11
,,Thbd
,,Them6
,,Thsd4
,,Thsd7a
,,Thsd7b
,,Thtpa
,,Ticam1
,,Tigd5
,,Timd4
,,Timm29
,,Timm8b
,,Timp3
,,Tiparp
,,Tle4
,,Tll1
,,Tlr3
,,Tlr4
,,Tma7
,,Tmc1
,,Tmcc3
,,Tmco4
,,Tmem100
,,Tmem108
,,Tmem132c
,,Tmem132cos
,,Tmem163
,,Tmem164
,,Tmem167b
,,Tmem176b
,,Tmem185b
,,Tmem200a
,,Tmem229a
,,Tmem242
,,Tmem255b
,,Tmem256
,,Tmem258
,,Tmem273
,,Tmem50b
,,Tmem51
,,Tmem63a
,,Tmem74
,,Tmem88b
,,Tmem9
,,Tmtc2
,,Tmtc4
,,Tnfaip6
,,Tnfaip8
,,Tnfrsf1a
,,Tnfrsf8
,,Tnfsf12
,,Tnni1
,,Tnni3k
,,Tns1
,,Tns3
,,Tollip
,,Tomm20
,,Tomm6
,,Tomm7
,,Tox
,,Tox2
,,Tppp
,,Tprgl
,,Tpt1
,,Trabd2b
,,Traf4
,,Tram2
,,Trdn
,,Trf
,,Trhde
,,Trhr
,,Tril
,,Trim14
,,Trim43c
,,Trim56
,,Trim67
,,Trmt9b
,,Trp53cor1
,,Trp73
,,Trpc3
,,Trpc4
,,Trpc5
,,Trpc6
,,Trpm3
,,Trps1
,,Trpt1
,,Tsen34
,,Tshr
,,Tshz1
,,Tshz2
,,Tshz3
,,Tsnax
,,Tspan11
,,Tspan18
,,Tspan8
,,Tspear
,,Tspyl1
,,Tspyl4
,,Tspyl5
,,Ttc28
,,Ttf2
,,Ttll8
,,Ttr
,,Tuba1a
,,Tuba1b
,,Tuba4a
,,Tubb2a
,,Tubb5
,,Tusc2
,,Txndc5
,,Txnip
,,Ubash3a
,,Ubash3b
,,Ubc
,,Ube2cbp
,,Ube2v1
,,Ubqln2
,,Ubxn10
,,Unc13c
,,Unc5b
,,Unc5c
,,Unc5d
,,Uqcc2
,,Uqcr10
,,Uqcr11
,,Uqcrb
,,Usp29
,,Usp43
,,Usp6nl
,,Ust
,,Utrn
,,Vat1l
,,Vav3
,,Vcan
,,Vegfa
,,Vegfc
,,Vgf
,,Vgll4
,,Vip
,,Vit
,,Vmn1r209
,,Vsig10
,,Vsir
,,Vstm2a
,,Vstm4
,,Vtn
,,Vwa5a
,,Vwa5b1
,,Vwc2
,,Vwc2l
,,Vxn
,,Wbp2
,,Wbscr25
,,Wdr72
,,Whrn
,,Wipf1
,,Wls
,,Wnt5b
,,Wwox
,,Wwtr1
,,Xkr6
,,Xkrx
,,Xlr5a
,,Xylt1
,,Zbtb16
,,Zbtb18
,,Zbtb20
,,Zbtb33
,,Zbtb7b
,,Zbtb7c
,,Zc3hav1
,,Zcchc12
,,Zcchc24
,,Zdhhc19
,,Zfhx3
,,Zfhx4
,,Zfp36l1
,,Zfp382
,,Zfp385b
,,Zfp521
,,Zfp536
,,Zfp608
,,Zfp688
,,Zfp703
,,Zfp772
,,Zfp804a
,,Zfp804b
,,Zfp994
,,Zfpm2
,,Zg16
,,Zic4
,,Zim1
,,Zmat4
,,Zmiz1
,,Zwilch
