,SL1,Pyrlayer2a/b,Pyrlayer3,SL2,IN_MGE-SST,IN_CGE_VIP,Vglut2,IN_CGE_NPY,IN_MGE-Pvalb,genes,var
0,0.72026944,0.90326625,1.0449197,0.84535694,0.97552085,0.9197097,1.0489333,1.0576305,0.85886544,AC149090.1,0.010396595845075771
1,0.00957457,0.0032740599,0.0046795695,0.00559185,0.008348949,0.0054253517,0.012989068,0.008862896,0.009930417,Spry3,4.638815825216825e-06
2,0.055461906,0.057589155,0.06619617,0.0652807,0.09610753,0.13888139,0.060924284,0.07680056,0.068824306,Tns3,0.0008729997665596519
3,0.13460183,0.04558026,0.03299808,0.055049088,0.044882126,0.06466792,0.10599555,0.032537963,0.031435348,Jup,0.001120772150908995
4,0.019158365,0.019743863,0.016547598,0.012491781,0.025038678,0.034010716,0.022964982,0.006453135,0.023324447,Ikzf1,4.7101522289284076e-05
5,0.09167326,0.11068826,0.12257992,0.10640088,0.13376458,0.13866901,0.07418682,0.08420966,0.1616473,Cnp,0.0002624717031884876
6,0.00992313,0.0082108425,0.011033937,0.017735507,0.017856516,0.050657026,0.025450956,0.014460856,0.0,P3h4,0.0002111654718651856
7,0.24274728,0.23194027,0.21423104,0.27732617,0.21122462,0.17517874,0.32782763,0.16688706,0.2198496,Ina,0.0009813136798752324
8,0.2859779,0.22257763,0.21655887,0.28142402,0.26441056,0.48167813,0.18772778,0.28072348,0.15986325,Fxyd6,0.007899641695432422
9,0.10807505,0.08798724,0.10087766,0.09780665,0.15386221,0.14120083,0.082025215,0.17894684,0.14901567,Pdcd11,0.0005782407751370255
10,0.046482462,0.07200518,0.10046488,0.07995412,0.071580164,0.07712796,0.036618438,0.07539515,0.11418335,Nxpe2,0.00025174959723360264
11,0.026092906,0.051390212,0.056831248,0.014069816,0.6414322,0.56160057,0.19611722,0.38542253,0.8611163,Vwc2,0.0715320112061653
12,0.19921355,0.634585,0.4211298,0.50601697,0.42264682,0.21197303,0.24012461,0.5321377,0.114779145,Arhgap6,0.023815856841019094
13,0.018446757,0.0136624975,0.023012994,0.021850675,0.00838029,0.022030458,0.042427327,0.030805718,0.038362775,Apoa1,2.7948570953314508e-05
14,0.028059237,0.019406008,0.03144207,0.02270352,0.03225293,0.05310825,0.02647981,0.02932645,0.051379606,Arsa,0.00011704713374509655
15,0.23606735,0.60452175,0.93098867,0.34780625,0.21165797,0.60173196,1.0480123,0.5730113,0.259262,Mapk4,0.06370611712619824
16,0.59182817,0.52690035,0.52458286,0.53825414,0.58716017,0.46352953,0.60193104,0.5265167,0.55063605,Atp5md,0.0018600523000300323
17,0.19917351,0.04174331,0.04917249,0.11074956,0.2579429,0.581885,0.2229732,0.5390904,0.5387039,Eps8,0.034113054677505084
18,0.0072212135,0.021067703,0.018506901,0.0149789695,0.03349424,0.0071283113,0.01223678,0.036093555,0.015010636,Mov10l1,8.133501958048791e-05
19,0.091202006,0.29709268,0.44768256,0.07787852,0.5637498,0.94336355,0.43523705,0.6350306,0.37450647,Plppr1,0.08899444124678697
20,0.15032205,0.10960623,0.13198927,0.18089396,0.17771316,0.15812317,0.26722425,0.104141444,0.34176168,Thsd4,0.0006220206882033547
21,0.011848824,0.017648958,0.010143418,0.012174498,0.020244582,0.023046598,0.039648756,0.020601494,0.017103504,Tmem268,2.2737234999565244e-05
22,0.3264302,0.28657165,0.27189457,0.30716234,0.29832953,0.24859029,0.27941445,0.31215426,0.31272262,Mapk8ip2,0.0006242061553550165
23,1.4649378,0.8479195,1.4819942,1.7890561,2.2902944,1.9392958,2.972233,1.127618,1.6886616,Dcc,0.20292758732510396
24,0.02155704,0.007370447,0.01476166,0.0137651935,0.019116296,0.0133555485,0.029499648,0.03598757,0.033103712,Vwa5a,2.0405602727545684e-05
25,0.4133356,0.20862272,0.16358784,0.30908298,1.6656878,1.1160107,0.66292346,1.2335956,1.7492785,Spock3,0.3087232323158379
26,0.029182173,0.039375775,0.04830549,0.06807722,0.07299051,0.048269823,0.060056202,0.05962786,0.053516902,Cebpzos,0.00023351026461910444
27,0.016776226,0.016374653,0.020696847,0.017997012,0.021980248,0.05454277,0.023526903,0.054829445,0.03149131,Zeb2os,0.00018183934689835457
28,0.026399644,0.0071758367,0.01169185,0.0107319765,0.0149879195,0.019139612,0.0168754,0.00825679,0.007814292,Dclre1b,3.957719213053037e-05
